game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus,wl,point_difference
65,2009-03-13,24-073,CLE,SAC,W (+3),46:59,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,51,43.4,6,W,3
66,2009-03-15,24-075,CLE,NYK,W (+5),39:52,9,17,0.529,0,3,0.0,1,3,0.333,1,7,8,10,4,3,3,19,22.4,-1,W,5
67,2009-03-17,24-077,CLE,ORL,W (+4),42:40,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,43,38.0,5,W,4
68,2009-03-19,24-079,CLE,POR,W (+5),46:47,10,22,0.455,0,3,0.0,6,11,0.545,0,11,11,10,1,2,0,26,23.7,-1,W,5
6,2009-11-05,24-310,CLE,CHI,L (-1),38:13,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,25,20.5,-1,L,1
10,2009-11-14,24-319,CLE,UTA,W (+4),37:33,6,15,0.4,0,3,0.0,9,12,0.75,0,6,6,9,2,1,2,21,20.1,6,W,4
21,2009-12-08,24-343,CLE,MEM,L (-2),44:47,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,43,32.5,6,L,2
23,2009-12-11,24-346,CLE,POR,W (+5),37:36,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,33,26.4,8,W,5
27,2009-12-18,24-353,CLE,MIL,W (+3),38:22,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,26,23.2,3,W,3
34,2009-12-30,25-000,CLE,ATL,W (+5),43:12,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,48,44.7,7,W,5
36,2010-01-03,25-004,CLE,CHA,L (-3),42:51,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,29,24.9,-2,L,3
38,2010-01-08,25-009,CLE,DEN,L (-2),41:18,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,35,18.7,6,L,2
40,2010-01-11,25-012,CLE,GSW,W (+3),41:37,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,37,37.8,12,W,3
41,2010-01-14,25-015,CLE,UTA,L (-1),40:25,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,36,32.8,7,L,1
42,2010-01-16,25-017,CLE,LAC,W (+1),38:54,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,32,23.3,-1,W,1
45,2010-01-23,25-024,CLE,OKC,W (+1),42:38,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,37,30.9,-1,W,1
46,2010-01-25,25-026,CLE,MIA,W (+1),38:31,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,32,18.8,1,W,1
55,2010-02-18,25-050,CLE,DEN,L (-2),47:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,43,40.1,-5,L,2
64,2010-03-12,25-072,CLE,PHI,W (+5),42:06,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,23,20.9,2,W,5
67,2010-03-17,25-077,CLE,IND,W (+5),38:43,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,32,25.8,14,W,5
71,2010-03-26,25-086,CLE,SAS,L (-5),39:18,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,27,20.2,-5,L,5
73,2010-03-31,25-091,CLE,MIL,W (+3),39:05,7,17,0.412,0,1,0.0,9,13,0.692,1,8,9,7,1,1,4,23,17.2,10,W,3
74,2010-04-02,25-093,CLE,ATL,W (+5),38:22,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,27,23.9,11,W,5
75,2010-04-04,25-095,CLE,BOS,L (-4),44:32,14,31,0.452,0,9,0.0,14,22,0.636,1,6,7,9,1,1,3,42,30.2,-1,L,4
6,2010-11-05,25-310,MIA,NOH,L (-3),41:12,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,20,20.6,-6,L,3
8,2010-11-09,25-314,MIA,UTA,L (-2),46:44,5,18,0.278,0,1,0.0,10,11,0.909,2,9,11,14,1,3,2,20,22.8,4,L,2
9,2010-11-11,25-316,MIA,BOS,L (-5),44:28,9,21,0.429,0,5,0.0,17,22,0.773,0,10,10,9,3,0,4,35,29.0,0,L,5
13,2010-11-20,25-325,MIA,MEM,L (-2),42:06,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,29,21.7,-1,L,2
29,2010-12-18,25-353,MIA,WAS,W (+1),40:31,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,32,24.4,6,W,1
30,2010-12-20,25-355,MIA,DAL,L (-2),36:05,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,19,11.2,-20,L,2
41,2011-01-18,26-019,MIA,ATL,L (-4),44:17,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,34,20.5,-5,L,4
43,2011-01-27,26-028,MIA,NYK,L (-5),42:32,7,24,0.292,0,2,0.0,10,12,0.833,2,9,11,5,2,2,4,24,15.0,5,L,5
44,2011-01-28,26-029,MIA,DET,W (+1),44:19,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,39,34.0,4,W,1
45,2011-01-30,26-031,MIA,OKC,W (+5),40:13,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,23,25.6,6,W,5
47,2011-02-03,26-035,MIA,ORL,W (+4),42:39,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,51,46.7,2,W,4
50,2011-02-08,26-040,MIA,IND,W (+5),41:44,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,41,39.3,18,W,5
52,2011-02-13,26-045,MIA,BOS,L (-3),43:28,10,21,0.476,0,2,0.0,2,3,0.667,1,6,7,7,1,0,4,22,14.5,1,L,3
56,2011-02-24,26-056,MIA,CHI,L (-4),41:26,12,21,0.571,0,4,0.0,5,6,0.833,0,10,10,5,2,1,2,29,25.5,3,L,4
58,2011-02-27,26-059,MIA,NYK,L (-5),39:08,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,27,19.7,-3,L,5
59,2011-03-03,26-063,MIA,ORL,L (-3),39:56,11,16,0.688,0,2,0.0,7,7,1.0,2,4,6,4,0,2,2,29,26.2,0,L,3
61,2011-03-06,26-066,MIA,CHI,L (-1),41:50,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,26,24.0,-4,L,1
68,2011-03-19,26-079,MIA,DEN,W (+5),40:40,15,25,0.6,1,4,0.25,2,2,1.0,0,6,6,2,2,0,5,33,20.5,16,W,5
76,2011-04-06,26-097,MIA,MIL,L (-5),39:25,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,29,22.0,-10,L,5
3,2011-12-28,26-363,MIA,CHA,W (+1),38:49,13,23,0.565,0,0,,9,9,1.0,0,6,6,7,3,2,2,35,33.2,5,W,1
